applications.postAddress;applications.inn;responsibleOrg.long;responsibleOrg.lat;address.OSM
428000 Чувашская Республика г. Чебоксары ул. Университетская д. 48;2,1291E+11;47,171506;56,128872; Чувашская Республика г. Чебоксары ул. Университетская д. 48
"Страна: Российская Федерация; ОКАТО: 45277592000; Почтовый индекс: 127422; Субъект РФ: Москва; Улица: Тимирязевская; Дом: д.1 стр.2; ";7713418499;37,568875;55,80699;"дом 1 стр.2,Тимирязевская улица,Страна: Российская Федерация; ОКАТО: 45277592000; Почтовый индекс: 127422; Субъект РФ: Москва; Улица: Тимирязевская; Дом: д.1 стр.2; ,Россия"
"Страна: Российская Федерация; ОКАТО: 97410000000; Почтовый индекс: 429950; Субъект РФ: Чувашская Республика -; Город: Новочебоксарск; Улица: 10 пятилетки; Дом: 23; Офис: а/я 11; ";2124040017;47,45523;56,108442;дом 23,10 пятилетки улица,Новочебоксарск,Россия
"Страна: Российская Федерация; ОКАТО: 89237845001; Почтовый индекс: 431510; Субъект РФ: Республика Мордовия; Город: Лямбирский; Населенный пункт: село Лямбирь; Улица: Строителей; Дом: 2; ";1,31501E+11;45,120589;54,282235;дом 2,Строителей улица,Лямбирский,Россия
420073, г.Казань, ул. Гвардейская, 33, офис 301;1660182239;49,1716256;55,7927926;ГВАРДЕЙСКАЯ УЛИЦА, Д. 33, КАЗАНЬ, РОССИЯ
"Страна: Российская Федерация; ОКАТО: 92401000000; Почтовый индекс: 420066; Субъект РФ: Республика Татарстан; Город: Казань; Улица: пр. Ибрагимова; Дом: 83а; Офис: 36а; ";1658111150;49,09761;55,820905;дом 83а,пр. Ибрагимова улица,Казань,Россия
"420074, РТ, г. Казань, ул. Петербургская 50, а\я 16, ""Инфо-Оберег"".";1616019804;49,133238;55,781464;ПЕТЕРБУРГСКАЯ 50 УЛИЦА, А\Я 16, Д. ИНФО-ОБЕРЕГ., КАЗАНЬ, РОССИЯ
"Страна: Российская Федерация; ОКАТО: 92401385000; Почтовый индекс: 420073; Субъект РФ: Татарстан; Город: Казань; Улица: Шуртыгина; Дом: 11a; Офис: 6; ";1660251242;49,176608;55,789856;дом 11a,Шуртыгина улица,Казань,Россия
428017, Чувашская Республика, г. Чебоксары, ул. Гузовского,  д. 11, оф. 18;2130073772;47,185214;56,143519;ЧУВАШСКАЯ РЕСПУБЛИКА, ГУЗОВСКОГО УЛИЦА, Д. 11, Д. ОФ. 18, ЧЕБОКСАРЫ, РОССИЯ
"Страна: Российская Федерация; ОКАТО: 92401385000; Почтовый индекс: 420140; Субъект РФ: Татарстан; Город: Казань; Улица: Ломжинская; Дом: 2; Офис: 209; ";1660216914;49,2212776;55,7670652;дом 2,Ломжинская улица,Казань,Россия
"Страна: Российская Федерация; ОКАТО: 92401385000; Почтовый индекс: 420025; Субъект РФ: Татарстан; Город: Казань; Улица: проспект Победы; Дом: 194; Офис: 8; ";1660237921;49,22041;55,794958;дом 194,проспект Победы улица,Казань,Россия
"Страна: Российская Федерация; ОКАТО: 92401379000; Почтовый индекс: 420094; Субъект РФ: Республика Татрстан ; Город: Казань; Населенный пункт: Казань; Улица: ул.Сибирский Тракт; Дом: 48; ";1657193505;49,174372;55,80063;дом 48,ул.Сибирский Тракт улица,Казань,Россия
"Страна: Российская Федерация; ОКАТО: 92401380000; Почтовый индекс: 420059; Субъект РФ: Республика Татарстан; Город: Казань; Улица: Роторная; Дом: 1; Офис: 1002; ";1659183301;49,1461606;55,7646608;дом 1,Роторная улица,Казань,Россия
"Страна: Российская Федерация; ОКАТО: 92401380000; Почтовый индекс: 420021; Субъект РФ: Татарстан; Город: Казань; Улица: Салиха Сайдашева; Дом: 36; Офис: корпус 1; ";1659164429;49,109792;55,769919;дом 36,Салиха Сайдашева улица,Казань,Россия
420001, РТ, г. Казань, ул. Чистопольская, д. 71А;1655322770;49,1455632;55,8197727;ЧИСТОПОЛЬСКАЯ УЛИЦА, Д. 71А, КАЗАНЬ, РОССИЯ
"Страна: Российская Федерация; ОКАТО: 92401000000; Почтовый индекс: 420140; Субъект РФ: Татарстан; Город: Казань; Улица: Минская; Дом: 37; ";1660153809;49,237829;55,772563;дом 37,Минская улица,Казань,Россия
"Страна: Российская Федерация; ОКАТО: 53401368000; Почтовый индекс: 460060; Субъект РФ: Оренбургская; Город: Оренбург; Улица: Поляничко; Дом: 4/1; Офис: 164; ";5611070353;55,168767;51,824885;дом 4/1,Поляничко улица,Оренбург,Россия
"Страна: Российская Федерация; ОКАТО: 92401385000; Почтовый индекс: 420029; Субъект РФ: Татарстан; Город: Казань; Населенный пункт: Горки; Улица: Журналистов; Дом: 5а; ";1660252912;49,188349;55,808255;дом 5а,Журналистов улица,Казань,Россия
"Страна: Российская Федерация; ОКАТО: 88415000000; Почтовый индекс: 425350; Субъект РФ: Марий Эл; Город: Козьмодемьянск; Улица: Комсомольская; Дом: 26а; Офис: кв. 30; ";1217006842;46,551417;56,336354;дом 26а,Комсомольская улица,Козьмодемьянск,Россия
"Страна: Российская Федерация; ОКАТО: 92401363000; Почтовый индекс: 420037; Субъект РФ: Татарстан; Город: Казань; Улица: Беломорская; Дом: 6; ";1661040565;49,0861157;55,8640027;дом 6,Беломорская улица,Казань,Россия
"Страна: Российская Федерация; ОКАТО: 92628101; Почтовый индекс: 422550; Субъект РФ: Республика Татарстан; Город: Зеленодольск; Улица: Засорина; Дом: 4; Офис: 6; ";1,64808E+11;48,510885;55,854598;дом 4,Засорина улица,Зеленодольск,Россия
"Страна: Российская Федерация; ОКАТО: 88401000000; Почтовый индекс: 424030; Субъект РФ: Марий Эл; Город: Йошкар-Ола; Улица: Мира; Дом: 21; ";1215082887;47,952025;56,622672;дом 21,Мира улица,Йошкар-Ола,Россия
"Страна: Российская Федерация; ОКАТО: 97401000000; Почтовый индекс: 428020; Субъект РФ: Чувашская Республика -; Город: Чебоксары; Улица: Богдана Хмельницкого; Дом: 7; Офис: 202; ";2130181591;47,235017;56,133151;дом 7,Богдана Хмельницкого улица,Чебоксары,Россия
105082, г. Москва, ул. Малая Почтовая, д.12. стр.20;7702796643;37,689438;55,772674;МАЛАЯ ПОЧТОВАЯ УЛИЦА, Д. 12. СТР.20, МОСКВА, РОССИЯ
"Страна: Российская Федерация; ОКАТО: 92401367000; Почтовый индекс: 420111; Субъект РФ: Татарстан; Город: Казань; Улица: Профсоюзная; Дом: 16А; ";1655348094;49,11449;55,791704;дом 16А,Профсоюзная улица,Казань,Россия
"Страна: Российская Федерация; ОКАТО: 92401379000; Почтовый индекс: 420073; Субъект РФ: РФ; Город: Казань; Улица: а/я 189; Дом: а/я 189; ";1657233282;49,240119;55,757318;дом а/я 189,а/я 189 улица,Казань,Россия
192242, г. Санкт-Петербург, ул. Будапештская, д.11;7801582554;30,3799215;59,8558823;БУДАПЕШТСКАЯ УЛИЦА, Д. 11, САНКТ-ПЕТЕРБУРГ, РОССИЯ
"Страна: Российская Федерация; ОКАТО: 88401000000; Почтовый индекс: 424000; Субъект РФ: Марий Эл; Город: Йошкар-Ола; Улица: Пролетарская; Дом: 46; ";1215093046;47,89029495;56,64554515;дом 46,Пролетарская улица,Йошкар-Ола,Россия
"Страна: Российская Федерация; ОКАТО: 92401380000; Почтовый индекс: 420049; Субъект РФ: Татарстан; Город: Казань; Улица: Ипподромная; Дом: 13/99; ";1659065749;49,148689;55,773312;дом 13/99,Ипподромная улица,Казань,Россия
"Страна: Российская Федерация; ОКАТО: 92401380000; Почтовый индекс: 420049; Субъект РФ: Татарстан; Город: Казань; Улица: Ипподромная; Дом: 13/99; ";1655061285;49,148689;55,773312;дом 13/99,Ипподромная улица,Казань,Россия
"Страна: Российская Федерация; ОКАТО: 04401374000; Почтовый индекс: 660022; Субъект РФ: Красноярский; Город: Красноярск; Улица: Партизана Железняка; Дом: 32; Офис: 187; ";2465287173;92,91929;56,031895;дом 32,Партизана Железняка улица,Красноярск,Россия
"Страна: Российская Федерация; ОКАТО: 45263594000; Почтовый индекс: 107553; Субъект РФ: Москва; Улица: Черкизовская Б.; Дом: 20 строение 1; ";7719641831;37,732197;55,79806;"дом 20 строение 1,Черкизовская Б. улица,Страна: Российская Федерация; ОКАТО: 45263594000; Почтовый индекс: 107553; Субъект РФ: Москва; Улица: Черкизовская Б.; Дом: 20 строение 1; ,Россия"
"Страна: Российская Федерация; ОКАТО: 92401385000; Почтовый индекс: 420088; Субъект РФ: Татарстан; Город: Казань; Улица: Зур Урам; ";1659044298;30,179953;59,863875;"дом Страна: Российская Ферация; ОКАТО: 92401385000; Почтовый инкс: 420088; Субъект РФ: Татарстан; Горо Казань; Улица: Зур Урам; ,Зур Урам улица,Казань,Россия"
"Страна: Российская Федерация; ОКАТО: 92401000000; Почтовый индекс: 420059; Субъект РФ: Татарстан; Город: Казань; Улица: Гвардейская; Дом: 46А; ";1659116979;49,176662;55,780026;дом 46А,Гвардейская улица,Казань,Россия
"Страна: Российская Федерация; ОКАТО: 92401000000; Почтовый индекс: 420059; Субъект РФ: Татарстан; Город: Казань; Улица: Оренбургский тракт ; Дом: 24В; Офис: 3; ";1659171190;49,190568;55,710834;дом 24В,Оренбургский тракт улица,Казань,Россия
"Страна: Российская Федерация; ОКАТО: 92401000000; Почтовый индекс: 420100; Субъект РФ: Республика Татарстан; Город: Казань; Улица: Закиева; Дом: 41 а; ";1660149841;49,232537;55,777575;дом 41 а,Закиева улица,Казань,Россия
117545, Москва, 1-й Дорожный проезд, д.6, стр.3;7726631320;37,618767;55,613611;МОСКВА, 1-Й ДОРОЖНЫЙПРОСПЕКТЕЗД, Д.6, Д. СТР.3, 117545, МОСКВА, 1-Й ДОРОЖНЫЙ ПРОЕЗД, Д.6, СТР.3, РОССИЯ
"Страна: Российская Федерация; ОКАТО: 61401365000; Почтовый индекс: 390013; Субъект РФ: Рязанская; Город: Рязань; Улица: Первомайский; Дом: 45 литера А нежилое помещение Н3; ";6234131391;39,732449;54,628861;дом 45 литера А нежилое помещение Н3,Первомайский улица,Рязань,Россия
"Страна: Российская Федерация; ОКАТО: 92401379000; Почтовый индекс: 420097; Субъект РФ: Татарстан; Город: Казань; Улица: Зинина; Дом: 3; ";1655093583;49,156549;55,791172;дом 3,Зинина улица,Казань,Россия
"Страна: Российская Федерация; ОКАТО: 92401379000; Почтовый индекс: 420103; Субъект РФ: Татарстан; Город: Казань; Улица: Фатыха Амирхана; Дом: 41; Офис: 56; ";1,65701E+11;49,132627;55,830452;дом 41,Фатыха Амирхана улица,Казань,Россия
"Страна: Российская Федерация; ОКАТО: 92401000000; Почтовый индекс: 420138; Субъект РФ: Татарстан; Город: Казань; Улица: Победы; Дом: 18Б; Офис: 2.2; ";1659064801;49,151599;55,873349;дом 18Б,Победы улица,Казань,Россия
"Страна: Российская Федерация; ОКАТО: 07215813001; Почтовый индекс: 420097; Субъект РФ: Татарстан; Город: Казань; Улица: Вишневского; Дом: 21; Офис: 101; ";1660124195;49,152623;55,789117;дом 21,Вишневского улица,Казань,Россия
"Страна: Российская Федерация; ОКАТО: 40296561000; Почтовый индекс: 192007; Субъект РФ: Санкт-Петербург; Улица: Тамбовская; Дом: 33; Офис: литер А помещение 2Н; ";7816565696;30,352888;59,911561;"дом 33,Тамбовская улица,Страна: Российская Федерация; ОКАТО: 40296561000; Почтовый индекс: 192007; Субъект РФ: Санкт-Петербург; Улица: Тамбовская; Дом: 33; Офис: литер А помещение 2Н; ,Россия"
"Страна: Российская Федерация; ОКАТО: 92401370000; Почтовый индекс: 420034; Субъект РФ: Татарстан; Город: Казань; Улица: Сулеймановой; Дом: 3; Офис: 125; ";1656063817;49,089795;55,813946;дом 3,Сулеймановой улица,Казань,Россия
"Страна: Российская Федерация; ОКАТО: 88401000000; Почтовый индекс: 424000; Субъект РФ: Марий Эл; Город: Йошкар-Ола; Улица: Пролетарская ; Дом: 14 литер Д; ";1215162204;47,897821;56,646514;дом 14 литер Д,Пролетарская улица,Йошкар-Ола,Россия
"Страна: Российская Федерация; ОКАТО: 45286580000; Почтовый индекс: 109147; Субъект РФ: Москва; Улица: Марксистская; Дом: 4; ";7740000076;37,656371;55,740213;"дом 4,Марксистская улица,Страна: Российская Федерация; ОКАТО: 45286580000; Почтовый индекс: 109147; Субъект РФ: Москва; Улица: Марксистская; Дом: 4; ,Россия"
"Страна: Российская Федерация; ОКАТО: 45286596000; Почтовый индекс: 127006; Субъект РФ: Москва; Город: Москва; Улица: Оружейный переулок; Дом: 41; ";7812014560;37,60558;55,773631;дом 41,Оружейный переулок улица,Москва,Россия
420034, Республика Татарстан, г. Казань, ул. Тверская, 9б оф.1;1,65701E+11;49,080596;55,824076;ТВЕРСКАЯ УЛИЦА, Д. 9Б ОФ.1, КАЗАНЬ, РОССИЯ
"Страна: Российская Федерация; ОКАТО: 92401000000; Почтовый индекс: 420071; Субъект РФ: Татарстан; Город: Казань; Улица: Мира; Дом: 65; Офис: 27; ";1660273510;49,215137;55,858337;дом 65,Мира улица,Казань,Россия
"Страна: Российская Федерация; ОКАТО: 92401000000; Почтовый индекс: 420059; Субъект РФ: Татарстан; Город: Казань; Улица: Гвардейская; Дом: 6; Офис: 1; ";1659116979;49,1716256;55,7927926;дом 6,Гвардейская улица,Казань,Россия
"Страна: Российская Федерация; ОКАТО: 92401385000; Почтовый индекс: 420029; Субъект РФ: Татарстан; Город: Казань; Улица: Академика Кирпичникова; Дом: 27; Офис: ПОМЕЩЕНИЕ 1007 КОМНАТА 34; ";1659167652;49,18419;55,814315;дом 27,Академика Кирпичникова улица,Казань,Россия
"Страна: Российская Федерация; ОКАТО: 92401385000; Почтовый индекс: 420088; Субъект РФ: Татарстан; Город: Казань; Улица: Зур Урам; Дом: 42; ";1660131428;49,194745;55,811573;дом 42,Зур Урам улица,Казань,Россия
"Страна: Российская Федерация; ОКАТО: 92401367000; Почтовый индекс: 420021; Субъект РФ: Татарстан; Город: Казань; Улица: Галиаскара Камала; Дом: 41; Офис: 607; ";1655384060;49,105408;55,781261;дом 41,Галиаскара Камала улица,Казань,Россия
"Страна: Российская Федерация; ОКАТО: 92401000000; Почтовый индекс: 421001; Субъект РФ: Татарстан; Город: Казань; Населенный пункт: Индивидуальный; Улица: Сибгата Хакима; Дом: 33; Офис: офис; ";1657082883;49,136346;55,816723;дом 33,Сибгата Хакима улица,Казань,Россия
"Страна: Российская Федерация; ОКАТО: 92401385000; Почтовый индекс: 420088; Субъект РФ: Татарстан; Город: Казань; Улица: Академика Губкина; Дом: 30б; ";1660088194;49,194745;55,804258;дом 30б,Академика Губкина улица,Казань,Россия
420081, РФ, РТ г.Казань, пр. А. Камалеева, д.12;1658180241;49,183462;55,789887;РФ,ПРОСПЕКТ , А. КАМАЛЕЕВА, Д. 12, КАЗАНЬ, РОССИЯ
"Страна: Российская Федерация; ОКАТО: 33407000000; Почтовый индекс: 613040; Субъект РФ: Кировская; Город: Кирово-Чепецкий р-н, Кирово-Чепецк; Улица: 60 лет Октября; Дом: 19; ";4312131359;50,041533;58,535998;дом 19,60 лет Октября улица,Кирово-Чепецкий р-н, Кирово-Чепецк,Россия
420021 г.Казань ул.Г.Тукая д.64 офис 302;1659177450;49,114256;55,778461; г.Казань ул.Г.Тукая д.64 офис 302
420064 Республика Татарстан,г.Казань,ул.Г.Ахунова д.2 кв.191;1659050492;49,181289;55,732727;УЛ.Г.АХУНОВА Д.2 КВ.191, Д. УЛ.Г.АХУНОВА 2 КВ.191, КАЗАНЬ, РОССИЯ
"Страна: Российская Федерация; ОКАТО: 92401370000; Почтовый индекс: 420033; Субъект РФ: Татарстан; Город: Казань; Улица: Лазарева; Дом: 5а; ";1656079461;49,04885;55,819697;дом 5а,Лазарева улица,Казань,Россия
"Страна: Российская Федерация; ОКАТО: 92401379000; Почтовый индекс: 420044; Субъект РФ: Татарстан; Город: Казань; Улица: Восстания; Дом: 21; Офис: 9.2; ";1657099710;49,094619;55,83478;дом 21,Восстания улица,Казань,Россия
"Страна: Российская Федерация; ОКАТО: 92401367000; Почтовый индекс: 420097; Субъект РФ: Татарстан; Город: Казань; Улица: Центральная; Дом: 39; ";1655324921;49,271452;55,744019;дом 39,Центральная улица,Казань,Россия
"Страна: Российская Федерация; ОКАТО: 92401367000; Почтовый индекс: 420097; Субъект РФ: Татарстан; Город: Казань; Улица: Центральная; Дом: 39; ";1660146953;49,271452;55,744019;дом 39,Центральная улица,Казань,Россия
"Страна: Российская Федерация; ОКАТО: 92401370000; Почтовый индекс: 420030; Субъект РФ: Татарстан; Город: Казань; Улица: Милицейская; Дом: 32; Офис: 16; ";5,50618E+11;49,052461;55,797124;дом 32,Милицейская улица,Казань,Россия
"Страна: Российская Федерация; ОКАТО: 92401367000; Почтовый индекс: 420111; Субъект РФ: Татарстан; Город: Казань; Улица: Московская; Дом: 15; Офис: 26А; ";1655385434;49,1106309;55,7866635;дом 15,Московская улица,Казань,Россия
"Страна: Российская Федерация; ОКАТО: 92206551000; Почтовый индекс: 422900; Субъект РФ: Татарстан; Город: Алексеевский; Населенный пункт: Алексеевское; Улица: Школьная; Дом: 5 корпус А; ";1,63401E+11;50,100571;55,312486;дом 5 корпус А,Школьная улица,Алексеевский,Россия
"Страна: Российская Федерация; ОКАТО: 92401385000; Почтовый индекс: 420073; Субъект РФ: Татарстан; Город: Казань; Улица: Волочаевская; Дом: 6; Офис: 121; ";1650163734;49,173771;55,78891;дом 6,Волочаевская улица,Казань,Россия
"Страна: Российская Федерация; ОКАТО: 92401000000; Почтовый индекс: 420044; Субъект РФ: Татарстан; Город: Казань; Улица: Волгоградская; Дом: 49; Офис: 606; ";1660127076;49,0829779;55,8292597;дом 49,Волгоградская улица,Казань,Россия
"Страна: Российская Федерация; ОКАТО: 92401000000; Почтовый индекс: 420095; Субъект РФ: Татарстан; Город: Казань; Улица: Серова; Дом: 35; ";1656031847;49,068721;55,826114;дом 35,Серова улица,Казань,Россия
"Страна: Российская Федерация; ОКАТО: 92401379000; Почтовый индекс: 420137; Субъект РФ: Татарстан; Город: Казань; Улица: Маршала Чуйкова; Дом: 73; Офис: 47; ";1657235924;49,149533;55,836403;дом 73,Маршала Чуйкова улица,Казань,Россия
"Страна: Российская Федерация; ОКАТО: 92401367000; Почтовый индекс: 420107; Субъект РФ: РФ; Город: Казань; Улица: Островского; Дом: 87; Офис: 3013; ";1655374224;49,129465;55,782;дом 87,Островского улица,Казань,Россия
"Страна: Российская Федерация; ОКАТО: 92401379000; Почтовый индекс: 420133; Субъект РФ: Республика Татарстан; Город: Казань; Улица: Гаврилова; Дом: 16; Офис: 13; ";1657238650;49,156324;55,832525;дом 16,Гаврилова улица,Казань,Россия
"Страна: Российская Федерация; ОКАТО: 92410000000; Почтовый индекс: 423243; Субъект РФ: Татарстан; Город: Бугульминский р-н, Бугульма; Улица: Казанская; Дом: 12А; ";1645028000;52,788258;54,5517;дом 12А,Казанская улица,Бугульминский р-н, Бугульма,Россия
"Страна: Российская Федерация; ОКАТО: 97401000000; Почтовый индекс: 428000; Субъект РФ: Чувашская Республика -; Город: Чебоксары; Улица: Базовый; Дом: 8А; ";2116494747;47,247836;56,102423;дом 8А,Базовый улица,Чебоксары,Россия
"Страна: Российская Федерация; ОКАТО: 40284561000; Почтовый индекс: 196084; Субъект РФ: Санкт-Петербург; Улица: Цветочная; Дом: 6; ";7810278310;30,331014;59,893254;"дом 6,Цветочная улица,Страна: Российская Федерация; ОКАТО: 40284561000; Почтовый индекс: 196084; Субъект РФ: Санкт-Петербург; Улица: Цветочная; Дом: 6; ,Россия"
"Страна: Российская Федерация; ОКАТО: 92401380000; Почтовый индекс: 420054; Субъект РФ: Республика Татарстан; Город: Казань; Улица: Техническая; Дом: 120; Офис: 301В; ";1659186550;49,131872;55,753499;дом 120,Техническая улица,Казань,Россия
"Страна: Российская Федерация; ОКАТО: 19401000000; Почтовый индекс: 160000; Субъект РФ: Вологодская; Город: Вологда; Улица: Пушкинская; Дом: 50; ";3525275441;39,88903011;59,2159976;дом 50,Пушкинская улица,Вологда,Россия
"Страна: Российская Федерация; ОКАТО: 57401380000; Почтовый индекс: 614010; Субъект РФ: Пермский; Город: Пермь; Улица: Маршрутная; Дом: 15; ";5904058853;56,2419006;57,981993;дом 15,Маршрутная улица,Пермь,Россия
"Страна: Российская Федерация; ОКАТО: 92401367000; Почтовый индекс: 420043; Субъект РФ: РТ; Город: гКазань; Улица: улВишневского; Дом: 16; Офис: 3; ";1655366061;49,149012;55,783848;дом 16,улВишневского улица,гКазань,Россия
"Страна: Российская Федерация; ОКАТО: 97401000000; Почтовый индекс: 428000; Субъект РФ: Чувашская Республика; Город: Чебоксары; Улица: Зеленая; Дом: 3; Офис: 2; ";2130195788;47,227228;56,139175;дом 3,Зеленая улица,Чебоксары,Россия
"Страна: Российская Федерация; ОКАТО: 45263594000; Почтовый индекс: 107023; Субъект РФ: г. Москва; Город: г. Москва; Улица: Малая Семеновская; Дом: дом. 9, стр. 6; ";9718053358;37,709156;55,78486;дом м. 9, стр. 6,Малая Семеновская улица,г. Москва,Россия
603122, Нижегородская область, г. Нижний Новгород, ул. Кузнечихинская, д.100, этаж 3, офис 3;5261035582;44,03325;56,293202;НИЖЕГОРОДСКАЯ ОБЛАСТЬ, КУЗНЕЧИХИНСКАЯ УЛИЦА, Д.100, Д. ЭТАЖ 3, НИЖНИЙ НОВГОРОД, РОССИЯ
"Страна: Российская Федерация; ОКАТО: 92401000000; Почтовый индекс: 420087; Субъект РФ: Татарстан; Город: Казань; Улица: Даурская; Дом: 41; ";1657116772;49,17199557;55,763723;дом 41,Даурская улица,Казань,Россия
"Страна: Российская Федерация; ОКАТО: 92425000000; Почтовый индекс: 423256; Субъект РФ: Татарстан; Город: Лениногорский р-н, Лениногорск; Улица: Володарского; Дом: 22/1; ";1649014752;52,448578;54,574972;дом 22/1,Володарского улица,Лениногорский р-н, Лениногорск,Россия
"Страна: Российская Федерация; ОКАТО: 92401380000; Почтовый индекс: 420129; Субъект РФ: Татарстан; Город: Казань; Улица: Зеленая 3-я (Салмачи); Дом: 40; ";1,65E+11;49,286939;55,738044;дом 40,Зеленая 3-я (Салмачи) улица,Казань,Россия
"Страна: Российская Федерация; ОКАТО: 92405000000; Почтовый индекс: 423458; Субъект РФ: Татарстан; Город: РАЙОН АЛЬМЕТЬЕВСКИЙ; Населенный пункт: ГОРОД АЛЬМЕТЬЕВСК; Улица: Р.Фахретдина; Дом: 37; ";1644040195;52,318996;54,902294;дом 37,Р.Фахретдина улица,РАЙОН АЛЬМЕТЬЕВСКИЙ,Россия
"Страна: Российская Федерация; ОКАТО: 73244551005; Почтовый индекс: 420097; Субъект РФ: Татарстан; Город: Казань; Улица: Зинина; Дом: 10а; Офис: 52; ";1639028805;49,155103;55,790028;дом 10а,Зинина улица,Казань,Россия
"Страна: Российская Федерация; ОКАТО: 92401363000; Почтовый индекс: 420036; Субъект РФ: Татарстан; Город: Казань; Улица: Лядова; Дом: 4; Офис: 6; ";1659115950;49,08136;55,853385;дом 4,Лядова улица,Казань,Россия
"Страна: Российская Федерация; ОКАТО: 92401000000; Почтовый индекс: 420076; Субъект РФ: Татарстан; Город: Казань; Улица: Восстания; Дом: 100; Офис: корп.209, оф.94; ";1657102836;49,050422;55,83342;дом 100,Восстания улица,Казань,Россия
"Страна: Российская Федерация; ОКАТО: 92401385000; Почтовый индекс: 420087; Субъект РФ: Татарстан; Город: г. Казань; Улица: Даурская; Дом: 20; Офис: 107; ";1660280130;49,1557919;55,7631617;дом 20,Даурская улица,г. Казань,Россия
"Страна: Российская Федерация; ОКАТО: 92401380000; Почтовый индекс: 420005; Субъект РФ: Татарстан; Город: Казань; Улица: Магистральная; Дом: 136; ";1659151370;49,104519;55,740213;дом 136,Магистральная улица,Казань,Россия
"Страна: Российская Федерация; ОКАТО: 92401379000; Почтовый индекс: 420066; Субъект РФ: Татарстан; Город: Казань; Улица: Чистопольская ; Дом: 32; Офис: 1; ";1657064845;49,119772;55,818361;дом 32,Чистопольская улица,Казань,Россия
610000, г. Киров, ул. Ленина, д. 65;4345019105;49,680411;58,604739;ЛЕНИНА УЛИЦА, Д. 65, КИРОВ, РОССИЯ
"Страна: Российская Федерация; ОКАТО: 36401000000; Почтовый индекс: 443031; Субъект РФ: Самарская; Город: Самара; Улица: Кирова; Дом: 419; ";6,319E+11;50,264019;53,211234;дом 419,Кирова улица,Самара,Россия
420136, г.Казань, а/я 78;1660216209;49,108795;55,796289;А/Я 78, Д. А/Я 78, КАЗАНЬ, РОССИЯ
141031, Московская область, Мытищинский район, территория ТПЗ Алтуфьево, д.7, корп. 1, офис 801;7715142711;37,729727;55,97872;МОСКОВСКАЯ ОБЛАСТЬ ТЕРРИТОРИЯ ТПЗ АЛТУФЬЕВО, Д.7, Д. КОРП. 1, 141031, МОСКОВСКАЯ ОБЛАСТЬ, МЫТИЩИНСКИЙ РАЙОН, ТЕРРИТОРИЯ ТПЗ АЛТУФЬЕВО, Д.7, КОРП. 1, ОФИС 801, РОССИЯ
